Station,Entrances,Primary Line,Lines,Borough
Clinton Washington Avs,Fulton St and Washington Ave,C,"C,",BROOKLYN
Franklin Av,Fulton St and Franklin Ave,C,"C,",BROOKLYN
Nostrand Av,Nostrand Ave and Fulton St,C,"C,C Express,",BROOKLYN
Kingston Throop Avs,Fulton St and Kingston Ave,C,"C,",BROOKLYN
Utica Av,Fulton St and Utica Ave,C,"C,C Express,",BROOKLYN
Ralph Av,Fulton St and Ralph Ave,C,"C,",BROOKLYN
Rockaway Av,Fulton St and Rockaway Ave,C,"C,",BROOKLYN
Broadway Junction,Van Sinderen Ave between Fulton St and Truxton St,C,"C,C Express,",BROOKLYN
Liberty Av,Liberty Ave and Pennsylvania Ave,C,"C,",BROOKLYN
Van Siclen Av,Pitkin Ave and Van Siclen Ave,C,"C,",BROOKLYN
Shepherd Av,Pitkin Ave and Shepherd Ave,C,"C,",BROOKLYN
Euclid Av,Pitkin Ave and Euclid Ave,C,"C,C Express,",BROOKLYN
Norwood-205 St,East 206 St and Bainbridge Ave,D,"D,D Express,",BRONX
Bedford Pk Blvd,Bedford Park Boulevard and Grand Concourse,D,"D,D Express,B",BRONX
Kingsbridge Rd,Kingsbridge Rd and Grand Concourse,D,"D,D Express,B",BRONX
Fordham Rd,East 188 St and Grand Concourse,D,"D,D Express,B",BRONX
182-183 Sts,182 St and Grand Concourse,D,"D,B",BRONX
Tremont Av,Grand Concourse and Echo Place,D,"D,D Express,B",BRONX
174-175 Sts,Walton Ave and Morris Ave,D,"D,B",BRONX
170 St,East 171 St and Grand Concourse,D,"D,B",BRONX
167 St,167 St and Grand Concourse,D,"D,B",BRONX
155 St,155 St and Harlem River Dr,D,"D,B",MANHATTAN
145 St,W 145 St and St Nicholas Ave,D,"D,D Express,C,B",MANHATTAN
125 St,W 125 St and St Nicholas Ave,D,"D,C,B",MANHATTAN
59 St Columbus Circle,W 58 St and 8th Ave,D,"D,D Express,C,B,1",MANHATTAN
7 Av,7th Ave and E 53 St,D,"D,B,E",MANHATTAN
47-50 Sts Rockefeller Ctr,6th Ave and W 50 St,D,"D,D Express,B,F",MANHATTAN
42 St Bryant Park,6th Ave and W 42 St,D,"D,D Express,B,F,7",MANHATTAN
34 St Herald Sq,W 35 St between Broadway and 6th Ave,D,"D,D Express,B,F",MANHATTAN
W 4 St Wash Sq,W 3 St and 6th Ave,D,"D,D Express,B,F,C,E",MANHATTAN
Bleecker St,Broadway and Houston St,D,"D,D Express,B,F,6",MANHATTAN
Grand St,Grand St and Chrystie St,D,"D,D Express,B",MANHATTAN
Atlantic Ave-Barclays Ctr,Hanson Place and Flatbush Ave,D,"D,D Express,B,2,3,4",BROOKLYN
36 St,4th Ave and 36th St,D,"D,D Express,",BROOKLYN
9 Av,9th Ave and New Utrecht Ave,D,"D,",BROOKLYN
Fort Hamilton Pkwy,New Utrecht Ave and 45th St,D,"D,",BROOKLYN
50 St,New Utrecht Ave and 50th St,D,"D,",BROOKLYN
55 St,New Utrecht Ave and 55th St,D,"D,",BROOKLYN
62 St,New Utrecht Ave and 62nd St,D,"D,",BROOKLYN
71 St,New Utrecht Ave and 71st St,D,"D,",BROOKLYN
79 St,New Utrecht Ave and 79th St,D,"D,",BROOKLYN
18 Av,18 Ave and 85th St,D,"D,",BROOKLYN
20 Av,20 Ave and 86th St,D,"D,",BROOKLYN
Bay Pkwy,Bay Parkway and 86th St,D,"D,",BROOKLYN
25 Av,86th St and 25th Ave,D,"D,",BROOKLYN
Bay 50 St,Harway Ave and Bay 50th St,D,"D,",BROOKLYN
Coney Island Stillwell Av,Mermaid Ave east of Stillwell Ave,D,"D,F",BROOKLYN
Jamaica Center Parsons/Archer,Parsons Blvd and Archer Ave,E,"E,E Express,",QUEENS
Sutphin Blvd Archer Av JFK Airport,Sutphin Blvd and Archer Ave,E,"E,E Express,",QUEENS
Jamaica Van Wyck,89 Ave and Van Wyck Expressway,E,"E,",QUEENS
Briarwood,Main St and Queens Blvd,E,"E,F",QUEENS
Kew Gardens Union Tpke,Union Turnpike and Queens Blvd,E,"E,E Express,F",QUEENS
75 Av,Queens Blvs and 75 Ave,E,"E,F",QUEENS
Forest Hills-71 Av,71 Ave and Queens Blvd,E,"E,E Express,F",QUEENS
Jackson Heights-Roosevelt Av,74 St and Roosevelt Ave,E,"E,E Express,7,F",QUEENS
Queens Plaza,Queens Blvd and Jackson Ave,E,"E,E Express,",QUEENS
Court Sq-23 St,44 Drive and 23 St,E,"E,E Express,7",QUEENS
Lexington Ave/ 53 St,Lexington Ave and E 53 St,E,"E,E Express,6",MANHATTAN
5 Av/ 53 St,5th Ave and E 53 St,E,"E,E Express,",MANHATTAN
7 Av,7th Ave and E 53 St,E,"E,E Express,B,D",MANHATTAN
50 St,W 50 St and 8th Ave,E,"E,C",MANHATTAN
42 St/ Port Authority Bus Terminal,W 40 St and 8th Ave,E,"E,E Express,C",MANHATTAN
34 St Penn Station,W 33 St and 8th Ave,E,"E,E Express,C",MANHATTAN
23 St,W 23 St and 8th Ave,E,"E,C",MANHATTAN
14 St,W 14 St and 8th Ave,E,"E,E Express,C",MANHATTAN
W 4 St Wash Sq,W 3 St and 6th Ave,E,"E,E Express,B,D,C,F",MANHATTAN
Spring St,Spring St and 6th Ave,E,"E,C",MANHATTAN
Canal St,Canal St and 6th Ave,E,"E,E Express,C",MANHATTAN
World Trade Center,Park Pl and Church St,E,"E,C,2,3",MANHATTAN
Jamaica-179 St,Hillside Ave and 178 St,F,"F,E",QUEENS
169 St,Hillside Ave and 169 St,F,"F,",QUEENS
Parsons Blvd,Parsons Blvd and Hillside Ave,F,"F,",QUEENS
Sutphin Blvd,Sutphin Blvd and Hillside Ave,F,"F,",QUEENS
Briarwood,Main St and Queens Blvd,F,"F,F Express,E",QUEENS
